
> vertexagents-the-sentinel-layer@1.0.0 dashboard
> serve . -p 3000

 INFO  Accepting connections at http://localhost:3000
 HTTP  4/6/2026 3:17:31 PM ::1 GET /dashboard/index.html
 HTTP  4/6/2026 3:17:31 PM ::1 Returned 301 in 32 ms
 HTTP  4/6/2026 3:17:31 PM ::1 GET /dashboard/index
 HTTP  4/6/2026 3:17:31 PM ::1 Returned 301 in 1 ms
 HTTP  4/6/2026 3:17:31 PM ::1 GET /dashboard
 HTTP  4/6/2026 3:17:31 PM ::1 Returned 200 in 6 ms
 HTTP  4/6/2026 3:17:32 PM ::1 GET /logs/audit.json
 HTTP  4/6/2026 3:17:32 PM ::1 Returned 200 in 3 ms
 HTTP  4/6/2026 3:17:35 PM ::1 GET /logs/audit.json
 HTTP  4/6/2026 3:17:35 PM ::1 Returned 304 in 2 ms
 HTTP  4/6/2026 3:17:37 PM ::1 GET /logs/audit.json
 HTTP  4/6/2026 3:17:37 PM ::1 Returned 304 in 2 ms
 HTTP  4/6/2026 3:18:38 PM ::1 GET /dashboard/index.html
 HTTP  4/6/2026 3:18:38 PM ::1 Returned 301 in 1 ms
 HTTP  4/6/2026 3:18:38 PM ::1 GET /dashboard/index
 HTTP  4/6/2026 3:18:38 PM ::1 Returned 301 in 1 ms
 HTTP  4/6/2026 3:18:38 PM ::1 GET /dashboard
 HTTP  4/6/2026 3:18:38 PM ::1 Returned 200 in 2 ms
 HTTP  4/6/2026 3:18:38 PM ::1 GET /logs/audit.json
 HTTP  4/6/2026 3:18:38 PM ::1 Returned 200 in 3 ms
 HTTP  4/6/2026 3:18:41 PM ::1 GET /logs/audit.json
 HTTP  4/6/2026 3:18:41 PM ::1 Returned 304 in 1 ms
