[18:45:00] PASS | TypeScript compilation successful (zero errors)
[18:45:00] PASS | .env file found
[18:45:00] PASS | KRAKEN_API_KEY configured in .env
[18:45:00] PASS | PRIVATE_KEY configured in .env
[18:45:00] PASS | AGENT_PRIVATE_KEY configured in .env
[18:45:00] PASS | INFURA_KEY configured in .env
[18:45:00] PASS | PnL file exists: src/logic/pnl/types.ts
[18:45:00] PASS | PnL file exists: src/logic/pnl/tracker.ts
[18:45:00] PASS | PnL file exists: src/logic/pnl/calculator.ts
[18:45:00] PASS | PnL file exists: test/logic/pnl/tracker.test.ts
[18:45:00] PASS | PnL file exists: test/logic/pnl/calculator.test.ts
[18:45:00] PASS | Complete PnL tracking system implemented
[18:45:00] PASS | Dashboard hero PnL section found
[18:45:00] INFO | Branch: main, Commit: b08f517
[18:45:00] WARN | Uncommitted changes detected
[18:45:33] PASS | Test suite: 5 passing
[18:45:33] FAIL | Test count lower than expected: 5
[18:45:33] PASS | Audit trail (logs/audit.json) found
[18:45:33] PASS | PnL snapshot (logs/pnl.json) found
[18:45:33] PASS | 7 production issues created and tracking
[18:45:33] SUMMARY | Total: 7/8 checks passed (87%)
[18:45:33] FAIL | Verification failed with 1 errors
